"Date","Site.","Day.number","Plot.number","Plot.Coordinates","Plot.bearing","subjective","Notes"
2019-08-12,"Waterfall",18,5,"c(-107.01342680457, 38.9947366073107)",35,"",""
2019-08-12,"Waterfall",18,6,"38.994628, -107.012029",205,"",""
2019-08-13,"401 Trail",22,1,"c(-107.003119141785, 38.9861178843954)",254,"",""
2019-08-13,"401 Trail",22,2,"c(-107.002165650903, 38.9859032980262)",273,"",""
2019-08-13,"401 Trail",22,3,"c(-107.001864520303, 38.9866732287027)",68,"",""
2019-08-13,"401 Trail",22,4,"c(-107.002020028118, 38.9864680037586)",148,"",""
2019-08-13,"401 Trail",22,5,"c(-107.003790277489, 38.9851047593221)",222,"",""
2019-08-13,"401 Trail",22,6,"38.985212, -107.004345",340,"",""
2019-08-14,"Waterfall",19,1,"c(-107.011831683785, 38.9944076549908)",295,"",""
2019-08-14,"Waterfall",19,2,"c(-107.012736246156, 38.9941915850608)",145,"",""
2019-08-14,"Waterfall",19,3,"c(-107.011517816865, 38.9945955452136)",30,"",""
2019-08-14,"Waterfall",19,4,"c(-107.011650769824, 38.994339531002)",20,"",""
2019-08-14,"Waterfall",19,5,"c(-107.011946709226, 38.9952688168916)",335,"",""
2019-08-14,"Waterfall",19,6,"38.994670, -107.012141",185,"",""
2019-08-15,"401 Trail",23,1,"c(-107.002180037222, 38.986372360791)",205,"",""
2019-08-15,"401 Trail",23,2,"c(-107.004049404453, 38.9856338066197)",65,"",""
2019-08-15,"401 Trail",23,3,"c(-107.004138073872, 38.9853964648126)",145,"",""
2019-08-15,"401 Trail",23,4,"c(-107.001715349384, 38.9866229987718)",320,"",""
2019-08-15,"401 Trail",23,5,"c(-107.002308883412, 38.986085051083)",295,"",""
2019-08-15,"401 Trail",23,6,"38.985728, -107.003716",195,"",""
2019-08-16,"Waterfall",20,1,"c(-107.013121544587, 38.9948982570118)",250,"",""
2019-08-16,"Waterfall",20,2,"c(-107.011607039896, 38.9945505868032)",290,"",""
2019-08-16,"Waterfall",20,3,"c(-107.012738582882, 38.9946273735865)",175,"",""
2019-08-16,"Waterfall",20,4,"c(-107.012600047727, 38.9951667529011)",120,"",""
2019-08-16,"Waterfall",20,5,"c(-107.012700818099, 38.9950019882696)",105,"",""
2019-08-16,"Waterfall",20,6,"38.994455, -107.012007",300,"",""
2019-08-19,"401 Trail",24,1,"c(-107.004636859037, 38.985346996977)",125,"",""
2019-08-19,"401 Trail",24,2,"c(-107.004599227255, 38.9848869571785)",335,"",""
2019-08-19,"401 Trail",24,3,"c(-107.003002109182, 38.9855237475629)",265,"",""
2019-08-19,"401 Trail",24,4,"c(-107.001840347346, 38.986081222178)",280,"",""
2019-08-19,"401 Trail",24,5,"c(-107.004196899634, 38.9846609271474)",45,"",""
2019-08-19,"401 Trail",24,6,"38.985138, -107.004062",325,"",""
2019-08-20,"Waterfall",21,1,"c(-107.012620430311, 38.9950891383327)",40,"",""
2019-08-20,"Waterfall",21,2,"c(-107.013239544764, 38.9946116831923)",115,"",""
2019-08-20,"Waterfall",21,3,"c(-107.013277106764, 38.9946838552551)",25,"",""
2019-08-20,"Waterfall",21,4,"c(-107.012619674259, 38.9948642233953)",175,"",""
2019-08-20,"Waterfall",21,5,"c(-107.011292963706, 38.9947042553279)",265,"",""
2019-08-20,"Waterfall",21,6,"38.994569, -107.012202",100,"",""
2019-08-21,"401 Trail",25,1,"c(-107.002189216488, 38.9860916448516)",160,"",""
2019-08-21,"401 Trail",25,2,"c(-107.004481250956, 38.9851002400574)",180,"",""
2019-08-21,"401 Trail",25,3,"c(-107.003566716763, 38.985910822632)",205,"",""
2019-08-21,"401 Trail",25,4,"c(-107.002635796526, 38.9863452204587)",175,"",""
2019-08-21,"401 Trail",25,5,"c(-107.003994453139, 38.9853214556708)",10,"",""
2019-08-21,"401 Trail",25,6,"38.985446, -107.003919",310,"",""
2019-08-22,"Waterfall",22,1,"c(-107.013382882829, 38.9945400307516)",340,"",""
2019-08-22,"Waterfall",22,2,"c(-107.012668850942, 38.9939315700245)",290,"",""
2019-08-22,"Waterfall",22,3,"c(-107.012430529461, 38.9952839146372)",185,"",""
2019-08-22,"Waterfall",22,4,"c(-107.012260576996, 38.9950307104828)",115,"",""
2019-08-22,"Waterfall",22,5,"c(-107.012362237837, 38.9950329580113)",185,"",""
2019-08-22,"Waterfall",22,6,"38.994463, -107.012248",15,"",""
2019-08-23,"401 Trail",26,1,"c(-107.001715743515, 38.9865860157872)",NA,"",""
2019-08-23,"401 Trail",26,2,"c(-107.001793717381, 38.9865651793537)",NA,"",""
2019-08-23,"401 Trail",26,3,"c(-107.003634588401, 38.9852274238104)",215,"",""
2019-08-23,"401 Trail",26,4,"c(-107.00204331445, 38.9862511443182)",NA,"",""
2019-08-23,"401 Trail",26,5,"c(-107.004289170009, 38.9854489712855)",310,"",""
2019-08-23,"401 Trail",26,6,"",NA,"",""
2019-08-25,"Waterfall",23,1,"c(-107.011853506432, 38.9951372853126)",335,"",""
2019-08-25,"Waterfall",23,2,"c(-107.012217294323, 38.9951590450825)",320,"",""
2019-08-25,"Waterfall",23,3,"c(-107.012085235086, 38.9950809942699)",105,"",""
2019-08-25,"Waterfall",23,4,"c(-107.012685437074, 38.9944140416964)",130,"",""
2019-08-25,"Waterfall",23,5,"c(-107.013238390441, 38.9949348041933)",180,"",""
2019-08-25,"Waterfall",23,6,"38.994544, -107.012242",5,"",""
2019-08-26,"401 Trail",27,1,"c(-107.002907524912, 38.9851673575327)",135,"",""
2019-08-26,"401 Trail",27,2,"c(-107.002029714863, 38.9857157869941)",35,"",""
2019-08-26,"401 Trail",27,3,"c(-107.004286762546, 38.9850754691952)",25,"",""
2019-08-26,"401 Trail",27,4,"c(-107.003247490699, 38.9849998558663)",290,"",""
2019-08-26,"401 Trail",27,5,"c(-107.003406773204, 38.9854632242324)",190,"",""
2019-08-26,"401 Trail",27,6,"38.985614, -107.003641",275,"",""
2019-08-27,"Waterfall",24,1,"c(-107.012454616557, 38.9942762572717)",30,"",""
2019-08-27,"Waterfall",24,2,"c(-107.011827326937, 38.9954071175632)",250,"",""
2019-08-27,"Waterfall",24,3,"c(-107.012996447646, 38.9948060726544)",20,"",""
2019-08-27,"Waterfall",24,4,"c(-107.01228192774, 38.9937202307006)",290,"",""
2019-08-27,"Waterfall",24,5,"c(-107.011585718088, 38.9946796055656)",350,"",""
2019-08-27,"Waterfall",24,6,"38.994625, -107.012241",100,"",""
2019-08-28,"401 Trail",28,1,"c(-107.001659213456, 38.9860228679981)",285,"",""
2019-08-28,"401 Trail",28,2,"c(-107.004186291102, 38.9852143693637)",230,"",""
2019-08-28,"401 Trail",28,3,"c(-107.003477115514, 38.9854333134114)",115,"",""
2019-08-28,"401 Trail",28,4,"c(-107.00419834886, 38.9846110508726)",20,"",""
2019-08-28,"401 Trail",28,5,"c(-107.002262412065, 38.9856799767828)",175,"",""
2019-08-28,"401 Trail",28,6,"38.986186, -107.001795",35,"",""
2019-08-29,"Waterfall",25,1,"c(-107.012492410144, 38.9941142081369)",210,"",""
2019-08-29,"Waterfall",25,2,"c(-107.013325421983, 38.9948343915821)",55,"",""
2019-08-29,"Waterfall",25,3,"c(-107.01303376378, 38.9950105767119)",15,"",""
2019-08-29,"Waterfall",25,4,"c(-107.012459638448, 38.9950650655223)",340,"",""
2019-08-29,"Waterfall",25,5,"c(-107.013199116687, 38.994111503665)",20,"",""
2019-08-29,"Waterfall",25,6,"38.994625, -107.012241",140,"",""
2019-08-30,"401 Trail",29,1,"c(-107.001611739499, 38.986723384937)",NA,"",""
2019-08-30,"401 Trail",29,2,"c(-107.003753935265, 38.985936417078)",NA,"",""
2019-08-30,"401 Trail",29,3,"c(-107.003136191244, 38.9850507938384)",240,"",""
2019-08-30,"401 Trail",29,4,"c(-107.002130625509, 38.9864571643957)",NA,"",""
2019-08-30,"401 Trail",29,5,"c(-107.003174507989, 38.985116447922)",50,"",""
2019-08-30,"401 Trail",29,6,"38.986255, -107.001757",50,"",""
2019-08-31,"Waterfall",26,1,"c(-107.013283484826, 38.9942435590538)",120,"",""
2019-08-31,"Waterfall",26,2,"c(-107.012932938002, 38.9947538578688)",110,"",""
2019-08-31,"Waterfall",26,3,"c(-107.012853457241, 38.9940320379815)",40,"",""
2019-08-31,"Waterfall",26,4,"c(-107.011463031291, 38.9950503040664)",250,"",""
2019-08-31,"Waterfall",26,5,"c(-107.012434227359, 38.9952054437574)",35,"",""
2019-08-31,"Waterfall",26,6,"38.994564, -107.011875",245,"",""
2019-09-02,"401 Trail",30,1,"c(-107.004463381184, 38.9851946560686)",310,"",""
2019-09-02,"401 Trail",30,2,"c(-107.003992067434, 38.9854509286419)",320,"",""
2019-09-02,"401 Trail",30,3,"c(-107.001959000421, 38.9861234227163)",200,"",""
2019-09-02,"401 Trail",30,4,"c(-107.003703572987, 38.984966295845)",205,"",""
2019-09-02,"401 Trail",30,5,"c(-107.003306163801, 38.9850855421372)",315,"",""
2019-09-02,"401 Trail",30,6,"38.986256, -107.001756",170,"",""
2019-09-03,"Waterfall",27,1,"c(-107.011587582438, 38.994524922661)",265,"",""
2019-09-03,"Waterfall",27,2,"c(-107.013230089415, 38.9942335361362)",70,"",""
2019-09-03,"Waterfall",27,3,"c(-107.012199385037, 38.9938127813551)",265,"",""
2019-09-03,"Waterfall",27,4,"c(-107.013128025289, 38.9946041529663)",165,"",""
2019-09-03,"Waterfall",27,5,"c(-107.011679241543, 38.9946012799694)",100,"",""
2019-09-03,"Waterfall",27,6,"38.994611, -107.012218",130,"",""
2019-09-04,"401 Trail",31,1,"c(-107.003082760045, 38.985283421853)",45,"",""
2019-09-04,"401 Trail",31,2,"c(-107.002962399226, 38.9857048226474)",330,"",""
2019-09-04,"401 Trail",31,3,"c(-107.003910199828, 38.9857646064004)",60,"",""
2019-09-04,"401 Trail",31,4,"c(-107.003596169409, 38.984904054229)",315,"",""
2019-09-04,"401 Trail",31,5,"c(-107.003979938237, 38.9852226514809)",280,"",""
2019-09-04,"401 Trail",31,6,"38.986313, -107.001818",180,"",""
